,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12
2023-08-21,-0.0022051607227794273,-0.012365793865174881,-0.01342621775021025,-0.012742272264785618,-0.004790026866344981,0.0023681111888161355,0.006030731485993355,0.0049093469922069375,0.0020801823637768826,-0.0035325563827573463,0.0016895076704675919,0.000601390792651125
2023-08-22,0.0034618459728922354,-0.004773847701605867,-0.005810441999889583,-0.0027576887708837894,0.004696690692101248,-0.0019487925399242012,-0.0014028086642782856,-0.0006380428615228217,-0.0004256791354618103,-0.008027487267443416,-0.0021672718740884996,0.00015860991371060025
2023-08-23,-0.00016079590326657984,-0.013962709195778657,0.0019612627172968865,-0.012060305518000308,0.0018345547467739217,0.0033539708052785365,-0.0011610432419803935,-0.0015011117616738183,-0.0006843886219416238,-0.005710432144064712,-0.0049163717897153505,-0.00041385415689311434
2023-08-24,-0.016457152142265043,-0.015539850338801533,-0.008350040679499245,-0.01834173363319526,-0.012975005718953228,0.00352692228526659,-0.0019257959252545855,-0.00298120204133755,-0.002180147995610177,0.008803941278003782,-0.009604774670641629,0.0003029047204808
2023-08-25,0.018287736561799207,0.018520489017238562,0.013157887810585526,0.017604065489960553,0.013083273944429947,-0.0008067728256823484,-0.004244911627987807,-0.0009108524964404483,0.005221298003744645,-0.002157855826723988,0.011842900418086732,0.0009829778734622553
2023-08-28,-0.0015221367572496515,-0.005787308056716522,-0.00017467107822186285,-0.009786330245564237,0.0009637333475177795,-0.0020909152110250196,-0.01308461548694393,-0.00010701381107801547,-0.009336646759924357,-0.017818735703352545,-0.002278137226973748,-0.0004810146607013361
2023-08-29,-0.007310233885455454,-0.01683386969974735,-0.0080519235263427,-0.009526002841629355,0.013885428964022048,-0.0014965619035501266,0.002412208361462752,-0.0031654998869333683,-0.0040412997516720865,0.001964701128609239,-0.03950463276528223,7.086857184020943e-05
2023-08-30,-0.005913880314786135,-0.0053456066539656925,0.0024867319998306396,0.001224749771446946,-0.005686633445115298,-0.006658425203427585,-0.00465977796049499,-0.008884277756797341,-0.010425663532186649,-0.0014311758479722317,0.010942338782906902,-0.0006391139706233771
2023-08-31,0.00949242761949828,0.012513029559937043,0.0035308510992456995,0.008987382233477859,0.01572822135354218,-0.004260914385286273,-0.008295661437967752,-0.0031757556601662478,-0.002154911636712735,-0.023371800649972636,-0.005426392232580052,0.0004213238340558727
2023-09-01,0.00630688896576357,0.020765119582891626,0.0048203303400722475,0.0129114713080571,0.015784769990314765,0.003138657320761204,0.010714220080110096,0.010747481857982449,0.006999064807504086,0.009344728597305356,0.014391175860115422,0.0008553761156858253
2023-09-04,-0.008294578232927702,-0.019827514295776134,-0.0069045847744626295,-0.006289641786802752,-0.03798174477766174,-0.004131219780828418,-0.006849844324508607,-0.00018573739988892907,-0.002179530573467609,-0.009487570896687225,-0.0030085832613670482,-0.00047189155648973125
2023-09-05,0.0056428144416558095,-0.0017110742220826224,0.008585024576398554,0.010758287865567184,0.0005109928244637347,-0.0003996064045636606,0.0061175960657419174,0.001090814265570785,0.010101549468369416,-0.003115262184596892,0.0030939509957772417,-0.0006560129814534311
2023-09-06,0.002145147693445096,0.004186672969396943,0.0027859519635857993,0.004245916723596702,0.005999129219593929,-0.004441604982589103,-0.0005492716566307667,-0.0019146885860987246,-0.008733928902932118,-0.015966144478971343,0.006243300844141566,-0.000309017292373373
2023-09-07,-0.002732108353727554,0.0025085842500212506,-0.006408634219536617,0.008495141873645848,-0.012296906357496471,-0.006223276684998127,-0.006735513434796345,-0.006169715497105687,0.006559118082067087,-0.009871880822016201,0.003978741688947263,-0.0002670488288067785
2023-09-08,-0.01216955053630964,-0.02494898978146225,-0.004069310409761144,-0.015404333486336168,-0.016929658001995543,-0.002613978432965388,-0.007198373168339918,-0.003963314223984526,-0.005932055400719991,0.005478260716765378,0.006849301093901912,-0.0007892005225010678
2023-09-11,0.004747746745311771,0.02732165783209987,-0.005112239065313303,0.010606842619979871,0.03087315500242303,0.005009982941543817,0.012180177145967263,0.011126260620271706,0.01080621841062108,0.017144673048643116,0.0007992656557770789,0.0006862434789812449
